CustomerID,Gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00052,Male,0,61,No,Fiber optic,One year,Electronic check,55.82,2948.57,No
CUST-00053,Male,1,39,No,DSL,One year,Credit card (automatic),97.32,3687.26,No
CUST-00054,Female,0,24,No,DSL,Two year,Credit card (automatic),60.63,1396.43,No
CUST-00055,Male,0,27,No,DSL,Month-to-month,Credit card (automatic),99.11,2322.49,Yes
CUST-00056,Female,1,39,No,DSL,One year,Credit card (automatic),22.72,786.78,No
CUST-00057,Female,0,51,No,DSL,One year,Mailed check,49.69,2520.42,No
CUST-00058,Male,0,60,Yes,No,Month-to-month,Electronic check,58.03,2984.81,No
CUST-00059,Male,0,33,Yes,Fiber optic,Two year,Mailed check,111.79,3226.2,Yes
CUST-00060,Female,1,42,Yes,DSL,Month-to-month,Credit card (automatic),22.59,896.55,No
CUST-00061,Female,0,28,No,DSL,Month-to-month,Mailed check,38.81,1051.74,Yes
CUST-00062,Female,1,42,No,DSL,One year,Credit card (automatic),71.4,2669.03,No
CUST-00063,Male,0,62,Yes,DSL,Two year,Mailed check,64.91,3974.43,No
CUST-00064,Female,0,40,No,Fiber optic,One year,Credit card (automatic),110.45,3768.5,No
CUST-00065,Female,0,54,No,Fiber optic,One year,Electronic check,106.88,5526.77,No
CUST-00066,Female,0,28,Yes,No,Month-to-month,Electronic check,27.78,696.97,No
CUST-00067,Female,0,18,No,No,One year,Bank transfer (automatic),41.2,700.95,No
CUST-00068,Female,1,8,Yes,Fiber optic,Month-to-month,Mailed check,42.04,324.18,Yes
CUST-00069,Male,0,7,No,No,One year,Bank transfer (automatic),27.61,181.73,No
CUST-00070,Male,0,28,No,DSL,Month-to-month,Bank transfer (automatic),53.97,1469.29,Yes
CUST-00071,Male,0,1,No,Fiber optic,Two year,Credit card (automatic),69.65,69.54,No
CUST-00072,Male,0,33,Yes,Fiber optic,Month-to-month,Mailed check,97.46,2957.21,Yes
CUST-00073,Female,1,34,No,DSL,Two year,Mailed check,25.18,772.1,No
CUST-00074,Male,0,52,No,No,Month-to-month,Electronic check,81.68,4031.94,No
CUST-00075,Male,0,57,No,Fiber optic,One year,Mailed check,35.55,1794.86,Yes
CUST-00076,Male,0,33,No,No,One year,Mailed check,47.15,1517.19,Yes
CUST-00077,Female,0,22,No,No,Month-to-month,Electronic check,97.96,2068.27,Yes
CUST-00078,Male,0,2,Yes,Fiber optic,One year,Mailed check,108.05,194.78,Yes
CUST-00079,Male,0,24,No,No,Two year,Mailed check,94.6,1984.01,No
CUST-00080,Female,0,49,No,Fiber optic,One year,Bank transfer (automatic),101.9,4909.3,No
CUST-00081,Male,0,70,Yes,DSL,Two year,Credit card (automatic),89.14,6084.71,No
CUST-00082,Female,1,11,Yes,No,Month-to-month,Bank transfer (automatic),117.11,1192.48,Yes
CUST-00083,Female,0,62,Yes,No,Month-to-month,Bank transfer (automatic),38.01,2310.34,No
CUST-00084,Female,1,47,Yes,Fiber optic,Month-to-month,Credit card (automatic),83.12,3665.51,No
CUST-00085,Female,0,54,Yes,DSL,One year,Bank transfer (automatic),35.74,1732.93,No
CUST-00086,Female,0,69,Yes,No,One year,Electronic check,100.72,6436.35,No
CUST-00087,Male,0,17,No,Fiber optic,Two year,Electronic check,23.46,359.42,No
CUST-00088,Female,0,60,No,Fiber optic,Two year,Electronic check,118.09,6243.82,Yes
CUST-00089,Female,0,22,No,DSL,One year,Mailed check,24.14,475.15,No
CUST-00090,Male,0,62,Yes,DSL,Two year,Electronic check,28.07,1620.63,No
CUST-00091,Male,1,51,No,DSL,Month-to-month,Mailed check,68.83,3078.46,No
CUST-00092,Male,1,51,Yes,Fiber optic,One year,Electronic check,61.51,2864.23,No
CUST-00093,Male,0,44,Yes,No,Month-to-month,Credit card (automatic),62.03,2375.26,No
CUST-00094,Male,0,1,Yes,Fiber optic,Month-to-month,Electronic check,27.52,24.99,Yes
CUST-00095,Female,1,8,No,DSL,Month-to-month,Electronic check,103.91,767.97,Yes
CUST-00096,Male,0,4,No,Fiber optic,Month-to-month,Credit card (automatic),100.28,349.88,No
CUST-00097,Female,0,17,No,DSL,Month-to-month,Mailed check,105.13,1599.74,No
CUST-00098,Male,1,7,No,No,Month-to-month,Credit card (automatic),99.07,595.84,Yes
CUST-00099,Female,0,10,Yes,No,Two year,Mailed check,45.56,424.39,Yes
CUST-00100,Male,0,61,Yes,Fiber optic,Two year,Bank transfer (automatic),82.07,4964.23,No
CUST-00101,Female,0,51,No,Fiber optic,Month-to-month,Bank transfer (automatic),47.14,2273.49,No
CUST-00102,Female,0,29,No,No,One year,Electronic check,100.56,2577.19,No
CUST-00103,Female,0,28,Yes,DSL,Month-to-month,Electronic check,94.23,2615.32,Yes
CUST-00104,Male,0,37,No,No,Month-to-month,Electronic check,51.58,1683.45,Yes
CUST-00105,Male,1,4,No,Fiber optic,Two year,Mailed check,98.75,386.03,Yes
CUST-00106,Female,0,58,Yes,Fiber optic,One year,Bank transfer (automatic),54.72,3084.47,No
CUST-00107,Male,0,44,Yes,Fiber optic,Month-to-month,Mailed check,28.07,1137.1,No
CUST-00108,Male,0,12,Yes,No,Two year,Mailed check,67.47,804.52,No
CUST-00109,Male,1,71,Yes,DSL,Month-to-month,Bank transfer (automatic),113.32,7856.14,No
CUST-00110,Male,1,65,No,No,Month-to-month,Bank transfer (automatic),22.07,1284.9,No
CUST-00111,Female,0,17,Yes,No,One year,Credit card (automatic),29.28,433.07,No
CUST-00112,Female,0,59,Yes,Fiber optic,Two year,Electronic check,119.92,6969.47,No
CUST-00113,Male,1,62,Yes,Fiber optic,Month-to-month,Credit card (automatic),40.2,2362.84,Yes
CUST-00114,Female,0,68,No,Fiber optic,Two year,Credit card (automatic),84.48,5119.13,No
CUST-00115,Female,0,40,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),62.77,2348.58,Yes
CUST-00116,Female,1,59,Yes,No,Month-to-month,Bank transfer (automatic),64.43,3447.75,No
CUST-00117,Male,0,12,No,No,Two year,Bank transfer (automatic),58.8,695.07,Yes
CUST-00118,Male,1,34,Yes,Fiber optic,Month-to-month,Electronic check,87.64,2540.38,No
CUST-00119,Male,0,49,No,Fiber optic,Two year,Electronic check,92.84,4297.48,No
CUST-00120,Female,0,44,Yes,DSL,One year,Mailed check,91.77,3685.71,No
CUST-00121,Male,1,12,Yes,No,Two year,Bank transfer (automatic),59.35,704.09,No
CUST-00122,Male,0,42,Yes,Fiber optic,Two year,Electronic check,91.96,3705.42,No
CUST-00123,Female,0,34,No,Fiber optic,Month-to-month,Mailed check,113.11,3427.0,No
CUST-00124,Male,0,67,No,DSL,Two year,Electronic check,69.88,4411.96,No
CUST-00125,Female,0,13,Yes,DSL,One year,Bank transfer (automatic),90.38,1080.43,No
CUST-00126,Male,1,37,Yes,No,Two year,Credit card (automatic),69.98,2251.55,No
CUST-00127,Female,0,4,No,No,One year,Credit card (automatic),80.4,319.18,No
CUST-00128,Female,0,72,No,Fiber optic,Month-to-month,Electronic check,51.22,3281.15,No
CUST-00129,Male,1,14,No,Fiber optic,Month-to-month,Mailed check,106.16,1305.05,No
CUST-00130,Female,0,1,No,Fiber optic,Month-to-month,Bank transfer (automatic),45.61,39.48,Yes
CUST-00131,Female,0,17,No,No,One year,Mailed check,50.34,835.86,No
CUST-00132,Male,0,62,No,Fiber optic,Month-to-month,Electronic check,57.07,3252.46,No
CUST-00133,Male,0,4,No,Fiber optic,Two year,Credit card (automatic),91.17,355.6,Yes
CUST-00134,Female,0,68,Yes,DSL,Two year,Bank transfer (automatic),115.5,7246.92,No
CUST-00135,Male,0,16,No,No,Two year,Mailed check,37.88,554.78,No
CUST-00136,Male,1,17,Yes,No,One year,Mailed check,112.02,1722.18,No
CUST-00137,Female,0,32,No,DSL,Month-to-month,Bank transfer (automatic),50.92,1504.1,No
CUST-00138,Male,0,14,No,DSL,One year,Electronic check,84.47,1107.85,Yes
CUST-00139,Female,0,22,No,No,Two year,Electronic check,102.83,2094.78,No
CUST-00140,Female,1,13,Yes,Fiber optic,Two year,Electronic check,33.47,400.83,No
CUST-00141,Male,1,25,No,Fiber optic,One year,Bank transfer (automatic),102.76,2415.47,No
CUST-00142,Male,0,2,Yes,Fiber optic,One year,Bank transfer (automatic),111.21,189.12,No
CUST-00143,Male,1,50,No,Fiber optic,One year,Electronic check,52.58,2529.96,Yes
CUST-00144,Male,0,54,Yes,No,One year,Mailed check,84.0,4233.29,No
CUST-00145,Male,0,54,Yes,No,One year,Bank transfer (automatic),37.84,1863.77,No
CUST-00146,Male,1,1,Yes,No,Month-to-month,Electronic check,89.9,76.42,Yes
CUST-00147,Male,0,21,Yes,Fiber optic,One year,Credit card (automatic),98.6,1963.65,No
CUST-00148,Male,0,70,Yes,No,Month-to-month,Electronic check,26.25,1772.34,No
CUST-00149,Female,0,49,No,No,Two year,Credit card (automatic),114.48,5097.58,No
CUST-00150,Female,0,58,Yes,No,Month-to-month,Electronic check,20.26,1136.06,No
CUST-00151,Male,0,20,Yes,No,Two year,Bank transfer (automatic),86.22,1571.51,No
CUST-00152,Female,0,72,No,Fiber optic,One year,Mailed check,78.26,5546.53,No
CUST-00153,Male,0,7,No,No,Two year,Electronic check,80.94,547.14,No
CUST-00154,Male,0,59,No,No,Two year,Bank transfer (automatic),104.52,5379.05,No
CUST-00155,Female,0,56,Yes,DSL,Month-to-month,Electronic check,28.16,1482.31,No
CUST-00156,Male,0,53,Yes,Fiber optic,Two year,Mailed check,28.63,1453.56,No
CUST-00157,Male,0,21,No,Fiber optic,One year,Bank transfer (automatic),85.21,1571.22,No
CUST-00158,Male,0,10,No,No,Two year,Electronic check,76.24,718.48,No
CUST-00159,Male,1,35,Yes,No,One year,Credit card (automatic),78.69,2358.76,Yes
CUST-00160,Female,0,45,Yes,DSL,Two year,Credit card (automatic),93.5,4106.7,No
CUST-00161,Female,0,46,Yes,No,Two year,Electronic check,65.68,2577.45,No
CUST-00162,Male,0,58,No,No,Two year,Bank transfer (automatic),52.15,2637.63,No
CUST-00163,Male,0,65,Yes,Fiber optic,One year,Credit card (automatic),22.45,1390.86,No
CUST-00164,Male,0,17,No,Fiber optic,Two year,Electronic check,98.04,1511.72,No
CUST-00165,Male,1,1,No,DSL,Two year,Electronic check,33.54,33.09,No
CUST-00166,Female,1,55,Yes,Fiber optic,One year,Bank transfer (automatic),25.06,1365.64,No
CUST-00167,Male,0,63,No,Fiber optic,Two year,Credit card (automatic),48.88,2795.98,No
CUST-00168,Female,0,13,No,No,Month-to-month,Electronic check,105.87,1309.07,Yes
CUST-00169,Male,0,11,Yes,DSL,One year,Bank transfer (automatic),70.49,754.45,No
CUST-00170,Female,0,41,Yes,Fiber optic,Month-to-month,Electronic check,98.1,3758.86,No
CUST-00171,Female,0,65,No,DSL,Two year,Mailed check,104.9,6182.48,No
CUST-00172,Male,1,72,No,Fiber optic,One year,Credit card (automatic),52.38,3422.98,No
CUST-00173,Female,0,68,Yes,DSL,Two year,Credit card (automatic),36.78,2276.27,No
CUST-00174,Female,0,23,Yes,Fiber optic,Month-to-month,Electronic check,54.34,1111.31,No
CUST-00175,Female,0,18,No,DSL,One year,Bank transfer (automatic),78.5,1335.73,No
CUST-00176,Male,0,40,No,DSL,One year,Electronic check,57.19,2057.33,No
CUST-00177,Male,0,14,No,Fiber optic,One year,Bank transfer (automatic),105.28,1368.37,No
CUST-00178,Male,0,42,Yes,No,Two year,Bank transfer (automatic),76.38,2805.46,No
CUST-00179,Female,0,10,Yes,No,Month-to-month,Bank transfer (automatic),81.6,768.82,No
CUST-00180,Male,1,49,Yes,Fiber optic,Month-to-month,Electronic check,64.15,3041.4,No
CUST-00181,Female,0,67,No,No,Two year,Electronic check,53.18,3111.58,No
CUST-00182,Female,1,33,Yes,No,One year,Credit card (automatic),119.88,3484.58,No
CUST-00183,Female,1,11,No,Fiber optic,Two year,Credit card (automatic),59.1,624.48,No
CUST-00184,Female,0,68,Yes,No,Two year,Bank transfer (automatic),87.39,5532.19,No
CUST-00185,Male,0,5,No,DSL,Month-to-month,Credit card (automatic),84.02,358.83,Yes
CUST-00186,Female,0,63,No,No,One year,Bank transfer (automatic),49.92,2739.23,No
CUST-00187,Male,1,42,Yes,DSL,One year,Credit card (automatic),57.43,2365.38,No
CUST-00188,Male,0,67,No,DSL,Month-to-month,Credit card (automatic),44.18,2900.93,Yes
CUST-00189,Female,0,34,Yes,Fiber optic,Month-to-month,Mailed check,52.78,1718.29,Yes
CUST-00190,Male,1,64,No,DSL,One year,Bank transfer (automatic),27.76,1537.23,No
CUST-00191,Male,1,37,Yes,DSL,One year,Electronic check,79.69,2733.73,No
CUST-00192,Male,0,60,No,DSL,Month-to-month,Electronic check,45.64,2698.46,Yes
CUST-00193,Female,1,50,Yes,DSL,Two year,Credit card (automatic),43.24,1933.94,No
CUST-00194,Female,0,27,No,DSL,Two year,Credit card (automatic),44.56,1088.82,No
CUST-00195,Female,0,20,No,DSL,Month-to-month,Bank transfer (automatic),29.46,564.55,No
CUST-00196,Female,0,26,No,DSL,One year,Mailed check,86.85,2232.02,No
CUST-00197,Female,0,19,Yes,Fiber optic,One year,Electronic check,102.19,1939.19,No
CUST-00198,Female,0,47,Yes,DSL,Month-to-month,Bank transfer (automatic),100.28,4640.05,Yes
CUST-00199,Male,1,1,No,No,Two year,Electronic check,46.63,44.22,No
CUST-00200,Female,0,35,Yes,Fiber optic,Month-to-month,Mailed check,25.15,813.15,No
CUST-00201,Male,0,52,Yes,No,One year,Bank transfer (automatic),43.99,2071.53,No
CUST-00202,Male,0,39,No,Fiber optic,Two year,Credit card (automatic),72.99,2585.95,No
CUST-00203,Male,1,26,No,DSL,Two year,Mailed check,110.74,2448.78,No
CUST-00204,Male,0,2,No,Fiber optic,Two year,Bank transfer (automatic),50.4,92.57,No
CUST-00205,Male,1,53,No,No,Month-to-month,Bank transfer (automatic),87.94,4235.53,No
CUST-00206,Female,0,18,Yes,DSL,One year,Credit card (automatic),36.38,573.24,No
CUST-00207,Female,0,9,Yes,Fiber optic,One year,Mailed check,77.42,682.92,No
CUST-00208,Female,0,11,Yes,DSL,Month-to-month,Bank transfer (automatic),96.18,1025.76,Yes
CUST-00209,Female,0,14,No,DSL,Two year,Credit card (automatic),33.36,407.1,No
CUST-00210,Male,0,37,No,DSL,Two year,Mailed check,112.99,3740.38,No
CUST-00211,Male,0,30,Yes,DSL,Month-to-month,Mailed check,89.13,2583.25,Yes
CUST-00212,Female,0,70,No,No,One year,Mailed check,85.93,5258.2,No
CUST-00213,Female,0,43,No,Fiber optic,Month-to-month,Mailed check,43.03,1617.65,Yes
CUST-00214,Female,0,67,No,Fiber optic,Month-to-month,Bank transfer (automatic),47.48,3054.83,No
CUST-00215,Male,0,28,No,DSL,Two year,Bank transfer (automatic),57.6,1589.84,Yes
CUST-00216,Male,1,51,Yes,DSL,Two year,Electronic check,44.6,2250.68,No
CUST-00217,Female,0,55,No,DSL,Two year,Bank transfer (automatic),66.99,3531.93,No
CUST-00218,Female,1,38,No,DSL,Two year,Mailed check,52.13,1861.55,No
CUST-00219,Female,0,39,Yes,DSL,Two year,Mailed check,39.42,1422.64,No
CUST-00220,Male,0,68,No,DSL,Month-to-month,Mailed check,105.41,6304.29,No
CUST-00221,Female,0,28,No,DSL,Two year,Mailed check,53.79,1504.85,No
CUST-00222,Male,0,36,Yes,Fiber optic,Two year,Electronic check,49.93,1574.17,No
CUST-00223,Male,0,57,No,DSL,One year,Credit card (automatic),87.54,4632.31,No
CUST-00224,Female,0,21,Yes,Fiber optic,One year,Credit card (automatic),89.41,1768.79,No
CUST-00225,Male,0,71,No,No,Month-to-month,Bank transfer (automatic),101.9,6939.07,No
CUST-00226,Female,0,11,Yes,No,Two year,Bank transfer (automatic),93.14,994.82,No
CUST-00227,Male,0,44,No,DSL,Two year,Bank transfer (automatic),76.14,3029.25,No
CUST-00228,Male,1,25,No,No,Month-to-month,Mailed check,21.4,493.43,No
CUST-00229,Male,0,59,No,No,One year,Credit card (automatic),48.51,2741.49,No
CUST-00230,Female,0,49,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),106.94,4486.54,No
CUST-00231,Female,0,23,Yes,No,Two year,Electronic check,53.29,1065.75,No
CUST-00232,Male,0,48,No,No,Two year,Electronic check,55.51,2428.87,No
CUST-00233,Female,0,54,No,No,One year,Credit card (automatic),109.63,5482.59,No
CUST-00234,Male,0,62,No,DSL,One year,Bank transfer (automatic),23.54,1284.43,No
CUST-00235,Male,0,4,No,No,Two year,Mailed check,63.02,224.5,No
CUST-00236,Male,1,29,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),49.84,1241.27,No
CUST-00237,Female,0,25,Yes,No,Month-to-month,Bank transfer (automatic),99.49,2130.21,Yes
CUST-00238,Male,0,31,No,DSL,Two year,Bank transfer (automatic),92.66,2850.14,No
CUST-00239,Male,1,36,No,No,Two year,Credit card (automatic),78.65,2526.34,No
CUST-00240,Male,0,38,No,No,Two year,Credit card (automatic),48.18,1695.25,No
CUST-00241,Male,0,59,Yes,Fiber optic,Two year,Electronic check,72.42,4102.64,No
CUST-00242,Male,0,48,No,Fiber optic,One year,Electronic check,59.17,2686.86,No
CUST-00243,Male,1,4,Yes,No,Two year,Electronic check,47.95,179.84,No
CUST-00244,Male,0,38,No,Fiber optic,Month-to-month,Electronic check,111.75,3719.71,Yes
CUST-00245,Female,0,11,Yes,DSL,Month-to-month,Bank transfer (automatic),33.01,311.86,Yes
CUST-00246,Female,0,2,Yes,Fiber optic,One year,Bank transfer (automatic),41.7,75.45,No
CUST-00247,Female,0,56,No,No,One year,Electronic check,64.49,3508.44,No
CUST-00248,Female,0,10,No,Fiber optic,Month-to-month,Bank transfer (automatic),53.21,453.96,Yes
CUST-00249,Male,0,9,Yes,DSL,Month-to-month,Mailed check,54.28,432.12,Yes
CUST-00250,Male,0,23,Yes,Fiber optic,Month-to-month,Credit card (automatic),106.5,2255.09,Yes
CUST-00251,Male,0,51,No,DSL,Month-to-month,Electronic check,30.5,1522.14,No
CUST-00252,Female,0,28,Yes,DSL,One year,Bank transfer (automatic),32.15,859.52,No
CUST-00253,Female,0,19,Yes,Fiber optic,Month-to-month,Credit card (automatic),52.19,847.6,No
CUST-00254,Female,0,5,Yes,Fiber optic,Month-to-month,Credit card (automatic),93.97,429.57,No
CUST-00255,Male,0,2,Yes,No,Month-to-month,Electronic check,112.28,210.49,Yes
CUST-00256,Male,1,4,Yes,No,One year,Electronic check,101.13,380.93,No
CUST-00257,Male,0,67,No,No,Month-to-month,Mailed check,72.08,4726.22,No
CUST-00258,Male,0,34,No,Fiber optic,Month-to-month,Bank transfer (automatic),83.59,2542.73,Yes
CUST-00259,Female,1,62,No,No,One year,Mailed check,44.28,2719.35,No
CUST-00260,Male,1,5,Yes,Fiber optic,Month-to-month,Electronic check,53.43,265.23,Yes
CUST-00261,Female,1,55,No,No,Month-to-month,Electronic check,69.27,3522.79,No
CUST-00262,Male,0,64,No,DSL,Month-to-month,Electronic check,20.3,1239.01,Yes
CUST-00263,Male,0,25,Yes,No,Two year,Mailed check,94.24,2036.91,No
CUST-00264,Male,0,50,No,DSL,Month-to-month,Credit card (automatic),28.39,1357.85,No
CUST-00265,Female,0,15,No,No,Two year,Bank transfer (automatic),87.92,1196.42,No
CUST-00266,Male,0,12,Yes,No,One year,Electronic check,105.09,1075.68,No
CUST-00267,Female,0,51,Yes,DSL,Two year,Credit card (automatic),109.82,4942.46,No
CUST-00268,Female,1,6,Yes,No,Two year,Bank transfer (automatic),59.11,338.82,No
CUST-00269,Male,0,3,Yes,DSL,One year,Bank transfer (automatic),72.61,186.02,Yes
CUST-00270,Male,0,47,No,Fiber optic,One year,Mailed check,24.8,1114.84,No
CUST-00271,Male,0,10,Yes,Fiber optic,One year,Bank transfer (automatic),78.5,755.42,No
CUST-00272,Male,1,7,No,DSL,Month-to-month,Credit card (automatic),57.18,382.2,No
CUST-00273,Male,1,65,No,No,Two year,Electronic check,30.96,1981.69,No
CUST-00274,Female,0,31,Yes,Fiber optic,One year,Electronic check,33.39,1026.63,No
CUST-00275,Male,0,43,Yes,Fiber optic,One year,Credit card (automatic),57.13,2445.18,No
CUST-00276,Male,0,14,No,DSL,One year,Mailed check,53.24,683.4,No
CUST-00277,Male,0,72,No,Fiber optic,Two year,Mailed check,59.37,4215.13,No
CUST-00278,Female,0,57,No,DSL,One year,Credit card (automatic),105.03,5881.18,No
CUST-00279,Male,0,34,No,DSL,One year,Mailed check,86.14,2920.4,No
CUST-00280,Male,0,22,No,No,Two year,Electronic check,25.67,526.25,No
CUST-00281,Male,0,15,Yes,Fiber optic,Month-to-month,Electronic check,20.31,287.93,No
CUST-00282,Female,1,2,No,DSL,Month-to-month,Credit card (automatic),79.73,150.24,No
CUST-00283,Female,0,11,Yes,Fiber optic,One year,Credit card (automatic),76.25,775.68,No
CUST-00284,Male,0,52,No,No,Month-to-month,Bank transfer (automatic),91.75,4366.06,No
CUST-00285,Male,0,56,No,DSL,One year,Mailed check,30.47,1537.52,No
CUST-00286,Female,0,67,Yes,No,Two year,Mailed check,84.97,5566.12,No
CUST-00287,Male,0,50,No,Fiber optic,Two year,Bank transfer (automatic),74.09,3597.98,No
CUST-00288,Female,1,9,Yes,No,One year,Mailed check,73.22,577.55,No
CUST-00289,Female,0,33,No,No,One year,Bank transfer (automatic),42.39,1339.3,No
CUST-00290,Female,0,8,No,Fiber optic,Two year,Electronic check,71.21,521.69,No
CUST-00291,Male,0,68,Yes,Fiber optic,Month-to-month,Electronic check,91.53,5900.94,Yes
CUST-00292,Male,0,63,No,No,Two year,Mailed check,73.72,4502.36,No
CUST-00293,Male,1,41,No,Fiber optic,Two year,Electronic check,26.94,1100.65,No
CUST-00294,Female,1,67,No,No,Two year,Electronic check,113.14,6908.26,No
CUST-00295,Female,1,65,No,No,Two year,Credit card (automatic),87.77,5453.18,No
CUST-00296,Male,0,72,No,No,Month-to-month,Mailed check,101.8,6505.62,No
CUST-00297,Male,0,30,No,Fiber optic,One year,Electronic check,108.13,3025.2,No
CUST-00298,Female,0,67,Yes,No,Two year,Electronic check,31.98,1904.02,No
CUST-00299,Male,0,43,No,No,Two year,Credit card (automatic),118.82,4483.36,No
CUST-00300,Male,0,62,No,No,Month-to-month,Electronic check,21.67,1321.78,No
CUST-00301,Male,0,67,No,Fiber optic,Two year,Credit card (automatic),62.48,3572.6,No
CUST-00302,Female,0,68,Yes,No,Month-to-month,Mailed check,34.9,2370.28,No
CUST-00303,Female,0,64,No,DSL,Month-to-month,Mailed check,76.01,4213.79,No
CUST-00304,Female,0,29,Yes,Fiber optic,One year,Bank transfer (automatic),72.64,1832.56,No
CUST-00305,Female,0,58,No,Fiber optic,Two year,Credit card (automatic),64.65,3374.51,Yes
CUST-00306,Male,1,8,Yes,Fiber optic,Two year,Credit card (automatic),85.23,619.7,No
CUST-00307,Male,1,61,Yes,DSL,Month-to-month,Bank transfer (automatic),48.08,2930.72,No
CUST-00308,Male,0,56,Yes,Fiber optic,Two year,Bank transfer (automatic),61.57,2964.03,No
